Designator Footprint               Mid X         Mid Y         Ref X         Ref Y         Pad X         Pad Y TB      Rotation Comment        

           TARGET_MECHANICAL_5 -27864.189mil -16698.189mil       -624mil      -1091mil -27864.189mil -16698.189mil  T          0.00 Comment        
           TARGET_MECHANICAL_5 -27864.189mil -16698.189mil       7364mil       8065mil -27864.189mil -16698.189mil  T          0.00 Comment        
           TARGET_MECHANICAL_5 -27864.189mil -16698.189mil      -1340mil       8148mil -27864.189mil -16698.189mil  T          0.00 Comment        
U1         SuperFin_Footprint   2891.472mil   3340.677mil   3881.827mil    2600.52mil   3366.866mil   2583.197mil  T         90.00 SuperFin Module
D133       LED_SMD_0402      3628.047mil    911.811mil   3628.047mil    911.811mil   3628.047mil    894.095mil  T         90.00 LED SMD 0402   
D134       LED_SMD_0402      3628.047mil   1436.811mil   3628.047mil   1436.811mil   3628.047mil   1419.094mil  T         90.00 LED SMD 0402   
D135       LED_SMD_0402      3528.047mil    911.811mil   3528.047mil    911.811mil   3528.047mil    894.095mil  T         90.00 LED SMD 0402   
D136       LED_SMD_0402      3428.047mil    911.811mil   3428.047mil    911.811mil   3428.047mil    894.095mil  T         90.00 LED SMD 0402   
D137       LED_SMD_0402      3428.047mil   1436.811mil   3428.047mil   1436.811mil   3428.047mil   1419.094mil  T         90.00 LED SMD 0402   
D138       LED_SMD_0402      3328.047mil    911.811mil   3328.047mil    911.811mil   3328.047mil    894.095mil  T         90.00 LED SMD 0402   
D139       LED_SMD_0402      3228.047mil   1436.811mil   3228.047mil   1436.811mil   3228.047mil   1419.094mil  T         90.00 LED SMD 0402   
D140       LED_SMD_0402      3028.047mil   1436.811mil   3028.047mil   1436.811mil   3028.047mil   1419.094mil  T         90.00 LED SMD 0402   
D141       LED_SMD_0402      2753.047mil   1386.811mil   2753.047mil   1386.811mil   2735.331mil   1386.811mil  T        360.00 LED SMD 0402   
D142       LED_SMD_0402      2753.047mil   1436.811mil   2753.047mil   1436.811mil   2770.764mil   1436.811mil  T        180.00 LED SMD 0402   
D143       LED_SMD_0402      2653.047mil   1386.811mil   2653.047mil   1386.811mil   2635.331mil   1386.811mil  T        360.00 LED SMD 0402   
D144       LED_SMD_0402      2553.047mil   1386.811mil   2553.047mil   1386.811mil   2535.331mil   1386.811mil  T        360.00 LED SMD 0402   
D145       LED_SMD_0402      2653.047mil   1436.811mil   2653.047mil   1436.811mil   2670.764mil   1436.811mil  T        180.00 LED SMD 0402   
D146       LED_SMD_0402      2553.047mil   1436.811mil   2553.047mil   1436.811mil   2570.764mil   1436.811mil  T        180.00 LED SMD 0402   
D147       LED_SMD_0402      2437.331mil   1431.811mil   2437.331mil   1431.811mil   2419.614mil   1431.811mil  T        360.00 LED SMD 0402   
D148       LED_SMD_0402      2437.331mil   1381.811mil   2437.331mil   1381.811mil   2455.047mil   1381.811mil  T        180.00 LED SMD 0402   
J5         HEADER_2X30       5508.047mil   3730.811mil   5558.047mil   2280.811mil   5558.047mil   2280.811mil  T         90.00 HDR 2x30   0.1"
J6         HEADER_2X30       3878.047mil   1236.811mil   5328.047mil   1286.811mil   5328.047mil   1286.811mil  T        180.00 HDR 2x30   0.1"
R1         SMD_0805          5208.047mil   4330.811mil   5208.047mil   4330.811mil   5208.047mil   4375.811mil  T        270.00 Res 0805       
R2         SMD_0805          5208.047mil   4130.811mil   5208.047mil   4130.811mil   5208.047mil   4175.811mil  T        270.00 Res 0805       
R3         SMD_0805          5208.047mil   3930.811mil   5208.047mil   3930.811mil   5208.047mil   3975.811mil  T        270.00 Res 0805       
R4         SMD_0805          5208.047mil   3730.811mil   5208.047mil   3730.811mil   5208.047mil   3775.811mil  T        270.00 Res 0805       
R5         SMD_0805          5208.047mil   3530.811mil   5208.047mil   3530.811mil   5208.047mil   3575.811mil  T        270.00 Res 0805       
R6         SMD_0805          5208.047mil   3330.811mil   5208.047mil   3330.811mil   5208.047mil   3375.811mil  T        270.00 Res 0805       
R7         SMD_0805          5208.047mil   3130.811mil   5208.047mil   3130.811mil   5208.047mil   3175.811mil  T        270.00 Res 0805       
R8         SMD_0805          5208.047mil   2930.811mil   5208.047mil   2930.811mil   5208.047mil   2975.811mil  T        270.00 Res 0805       
